index,artist_name,artist_genres,album_name,track_name,All_genres,track_id,Popular,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,time_signature,valence
33,Drake,hip hop,Scorpion,God's Plan,"['Drake', ['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap'], ['art rock', 'british folk', 'chamber pop', 'folk', 'folk rock', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'rock', 'singer-songwriter', 'slow core', 'traditional folk'], ['contemporary country', 'country pop'], ['post-teen pop'], ['la pop'], ['epicore', 'scorecore', 'soundtrack', 'video game music'], ['steel guitar']]",6DCZcSspjsKoFjzjrWoCdn,2,0.0332,0.754,198973,0.449,7,0.552,-9.211,0.109,77.169,4,0.35700000000000004
42,Kina,rock,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),"['Kina', ['lo-fi beats'], ['acoustic pop', 'folk-pop', 'indie cafe pop', 'neo mellow', 'pop', 'viral pop'], ['italian punk'], ['okinawan folk']]",4ZLzoOkj0MPWrTLvooIuaa,2,0.72,0.498,179080,0.235,1,0.14400000000000002,-16.541,0.188,118.917,4,0.0895
3,Calboy,rap,Envy Me,Envy Me,"['Calboy', ['chicago rap', 'trap music']]",05t7JMip6JrLuSrMV5yYjX,2,0.282,0.556,120137,0.481,11,0.21600000000000005,-7.6629999999999985,0.313,149.025,4,0.581
22,benny blanco,pop,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),"['benny blanco', ['dance pop', 'pop', 'tropical house']]",0d2iYfpKoM0QCKvcLCkBao,2,0.555,0.56,173800,0.68,6,0.116,-7.648,0.321,89.391,4,0.319
15,Kodak Black,hip hop,Dying To Live,ZEZE (feat. Travis Scott & Offset),"['Kodak Black', ['miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']]",0FZ4Dmg8jJJAPJnvBIzD9z,2,0.0521,0.861,228760,0.603,8,0.0924,-5.7879999999999985,0.17600000000000002,98.043,4,0.504
8,21 Savage,hip hop,i am > i was,a lot,"['21 Savage', ['atl hip hop', 'rap', 'trap music']]",2t8yVaLvJ0RenpXUIAC52d,2,0.0395,0.8370000000000001,288624,0.636,1,0.342,-7.643,0.086,145.972,4,0.274
12,A Boogie Wit da Hoodie,rap,Hoodie SZN,Look Back At It,"['A Boogie Wit da Hoodie', ['rap', 'trap music']]",3Ol2xnObFdKV9pmRD2t9x8,2,0.407,0.7909999999999999,179449,0.5870000000000001,3,0.14800000000000002,-5.075,0.0413,96.057,4,0.536
79,Camila Cabello,pop,Camila,Havana (feat. Young Thug),"['Camila Cabello', ['dance pop', 'pop', 'post-teen pop', 'r&b']]",1rfofaqEpACxVEHIZBJe6W,2,0.184,0.765,217307,0.523,2,0.132,-4.333,0.03,104.988,4,0.394
14,Sheck Wes,rap,MUDBOY,Mo Bamba,"['Sheck Wes', ['rap', 'trap music', 'underground hip hop', 'vapor trap']]",1xzBco0xcoJEDXktl7Jxrr,2,0.194,0.7290000000000001,183907,0.625,4,0.248,-5.266,0.0315,146.034,4,0.261
40,Zedd,pop,The Middle,The Middle,"['Zedd', ['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'post-teen pop', 'tropical house']]",09IStsImFySgyp0pIQdqAc,2,0.171,0.753,184732,0.657,7,0.112,-3.0610000000000004,0.0449,107.01,4,0.4370000000000001
146,Calvin Harris,house,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),"['Calvin Harris', ['edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']]",7ef4DlsgrMEH11cDZd32M6,2,0.037000000000000005,0.7909999999999999,214847,0.862,9,0.0814,-3.24,0.11,123.994,4,0.5920000000000001
214,Mark Ronson,pop,Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),"['Mark Ronson', ['dance pop', 'pop']]",27rdGxbavYJeBphck5MZAF,2,0.00987,0.601,217467,0.794,7,0.388,-5.8439999999999985,0.0671,114.066,4,0.244
